"NTSB_RPRT_NBR","ACFT_REGIST_NBR","ACFT_SERIAL_NBR","EV_TYPE_DESC","EVENT_LCL_DATE","LOC_STATE_CODE_STD","ARPT_NAME_STD","FLTCNDCT_DESC","OPRTR_SCHED_DESC","OPRTR_NSDC_NAME_STD","ACFT_NSDC_MAKE_STD","ACFT_NSDC_MODEL_STD","ACFT_NSDC_SERIES_STD","REPORT_STATUS","INJURY_DESC","FLIGHT_PHASE_DESC"
"ANC00FA018","N1747U","20700347","ACCIDENT","07-DEC-99","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","GRANT AVIATION INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","FATAL","CRUISE"
"ANC00FA024","N756HG","U20604099","ACCIDENT","05-FEB-00","AK","ILIAMNA","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","ILIAMNA AIR TAXI INC","CESSNA","U206","G","FINAL","FATAL","CRUISE"
"ANC00FA052","N3935Z","18-7781","ACCIDENT","01-MAY-00","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","UNDESIGNATED SERIES","FINAL","FATAL",""
"ANC00FA056","N6951R","MC-316","ACCIDENT","09-MAY-00","AK","MERRILL FIELD","PART 91: GENERAL AVIATION","","TAKE FLIGHT ALASKA INC","BEECH","24","B24R","FINAL","NONE",""
"ANC00FA076","N4762D","17272353","ACCIDENT","22-JUN-00","AK","TUNTUTULIAK","PART 91: GENERAL AVIATION","","VILLAGE AVIATION INC","CESSNA","172","N","FINAL","FATAL",""
"ANC00FA081","N63MR","337-0915","ACCIDENT","30-JUN-00","AK","MARSHALL","PART 91: GENERAL AVIATION","","MISSIONARY AVIATION CENTER","CESSNA","337","C","FINAL","FATAL",""
"ANC00FA082","N862SP","17258196","ACCIDENT","03-JUL-00","AK","","PART 91: GENERAL AVIATION","","TAKE FLIGHT ALASKA INC","CESSNA","172","S","FINAL","FATAL",""
"ANC00FA093","N2997A","30197","ACCIDENT","20-JUL-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","180","UNDESIGNATED SERIES","FINAL","FATAL","CLIMB"
"ANC00FA110","N4411L","17254496","ACCIDENT","31-AUG-00","AK","JUNEAU INTERNATIONAL","PART 91: GENERAL AVIATION","","","CESSNA","172","G","FINAL","FATAL",""
"ANC00FA128","N42472","207-00148","ACCIDENT","20-SEP-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","INLAND AVIATION SERVICES INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","FATAL","CLIMB"
"ANC00GA071","N1589F","1850971","ACCIDENT","19-JUN-00","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","HUDSON AIR SERVICE INC","CESSNA","185","E","FINAL","FATAL","CRUISE"
"ANC00GA121","N15","LA-138","ACCIDENT","12-SEP-00","AK","ANCHORAGE INTERNATIONAL","PART 91: GENERAL AVIATION","","","BEECH","90","F90","FINAL","NONE","APPROACH"
"ANC00IA010","N792AS","28887","INCIDENT","02-NOV-99","AK","JUNEAU INTERNATIONAL","PART 121: AIR CARRIER","SCHEDULED","ALASKA AIRLINES INC","BOEING","737","400","FINAL","NONE","LANDING"
"ANC00IA034","N949AS","53022","INCIDENT","07-MAR-00","AK","FAIRBANKS INTL","PART 121: AIR CARRIER","SCHEDULED","ALASKA AIRLINES INC","DOUGLAS","DC9","83","FINAL","NONE",""
"ANC00IA063","N3536B","75952205","INCIDENT","01-JUN-00","AK","RALPH M CALHOUN MEMORIAL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","FRONTIER FLYING SERVICE INC","PIPER","PA31","350","FINAL","NONE",""
"ANC00IA083","N73100","20700559","INCIDENT","04-JUL-00","AK","DEADHORSE","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","CAPE SMYTHE AIR SERVICE","CESSNA","207","A","FINAL","NONE",""
"ANC00IA088","N935AS","49236","INCIDENT","11-JUL-00","AK","ANCHORAGE INTL","PART 121: AIR CARRIER","SCHEDULED","ALASKA AIRLINES INC","DOUGLAS","DC9","82","FINAL","NONE","APPROACH"
"ANC00LA001","N4156Y","962-77","ACCIDENT","03-OCT-99","AK","LAKE HOOD STRIP","PART 91: GENERAL AVIATION","","","CHAMPION","7GCBC","NO SERIES EXISTS","FINAL","NONE","TAKEOFF"
"ANC00LA002","N85CG","18501927","ACCIDENT","07-OCT-99","AK","","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","GULF AIR TAXI INC","CESSNA","A185","E","FINAL","NONE","LANDING"
"ANC00LA004","N74923","31-7305066","ACCIDENT","11-OCT-99","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","F S AIR SERVICE INC","PIPER","PA31","UNDESIGNATED SERIES","FINAL","NONE","CRUISE"
"ANC00LA005","N4762D","724736","ACCIDENT","07-OCT-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","VILLAGE AVIATION INC","CESSNA","172","UNDESIGNATED SERIES","FINAL","NONE","TAXI"
"ANC00LA006","N220CS","31T8275013","ACCIDENT","15-OCT-99","AK","","PART 135: AIR TAXI & COMMUTER","SCHEDULED","CAPE SMYTHE AIR SERVICE INC","PIPER","PA31T","3","FINAL","NONE","CRUISE"
"ANC00LA008","N207SE","20700237","ACCIDENT","27-OCT-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","HAGELAND AVIATION SERVICES INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","NONE","CRUISE"
"ANC00LA009","N31606","32-780137","ACCIDENT","28-OCT-99","AK","RUSSIAN MISSION","PART 135: AIR TAXI & COMMUTER","SCHEDULED","BIDZY TA HOT AANA CORP","PIPER","PA32","300","FINAL","NONE","CRUISE"
"ANC00LA011","N8918Y","18-7409036","ACCIDENT","19-OCT-99","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA18","150","FINAL","NONE","LANDING"
"ANC00LA012","N8145D","22-5636","ACCIDENT","07-NOV-99","AK","","PART 91: GENERAL AVIATION","","","PIPER","PA22","160","FINAL","NONE","LANDING"
"ANC00LA013","N5657A","4013C","ACCIDENT","15-NOV-99","AK","FOUR CORNERS","PART 91: GENERAL AVIATION","","","MAULE","M7","235C","FINAL","NONE","TAKEOFF"
"ANC00LA014","N5730G","15071230","ACCIDENT","21-NOV-99","AK","JUNEAU INTERNATIONAL","PART 91: GENERAL AVIATION","","JUNEAU FLIGHT SCHOOL","CESSNA","150","K","FINAL","SERIOUS","TAKEOFF"
"ANC00LA015","N9933M","20700750","ACCIDENT","16-NOV-99","AK","DILLINGHAM","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","YUTE AIR ALASKA","CESSNA","207","A","FINAL","MINOR","TAKEOFF"
"ANC00LA016","N3719T","F-110","ACCIDENT","05-DEC-99","AK","","PART 91: GENERAL AVIATION","","","TAYLORCRAFT","19","NO SERIES EXISTS","FINAL","SERIOUS","TAKEOFF"
"ANC00LA017","N5187B","208B0270","ACCIDENT","06-DEC-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","ARCTIC CIRCLE AIR SERVICE","CESSNA","208","B","FINAL","NONE","TAKEOFF"
"ANC00LA019","N53910","192-76","ACCIDENT","11-DEC-99","AK","","PART 91: GENERAL AVIATION","","","CHAMPION","8GCBC","NO SERIES EXISTS","FINAL","NONE","TAKEOFF"
"ANC00LA020","N70021","18501896","ACCIDENT","23-DEC-99","AK","SEWARD","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","MANUFACTURED HOMES OF ALASKA INC","CESSNA","185","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA021","N1864","20700526","ACCIDENT","24-DEC-99","AK","BETHEL","PART 135: AIR TAXI & COMMUTER","SCHEDULED","GRANT AVIATION INC","CESSNA","T207","A","FINAL","MINOR","TAKEOFF"
"ANC00LA022","N8004N","32-8206014","ACCIDENT","26-JAN-00","AK","EKUK","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","PENINSULA AIRWAYS INC","PIPER","PA32","301","FINAL","NONE","LANDING"
"ANC00LA023","N6381V","046","ACCIDENT","02-FEB-00","AK","CHENA MARINA","PART 91: GENERAL AVIATION","","","PIETENPOL","AIRCAMPER","NO SERIES EXISTS","FINAL","NONE",""
"ANC00LA025","N327CT","20700535","ACCIDENT","07-FEB-00","AK","TULUKSAK","PART 135: AIR TAXI & COMMUTER","SCHEDULED","HAGELAND AVIATION SERVICES INC","CESSNA","207","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA026","N4961A","32358","ACCIDENT","08-FEB-00","AK","","PART 91: GENERAL AVIATION","","","CESSNA","180","UNDESIGNATED SERIES","FINAL","NONE",""
"ANC00LA027","N110JK","31T-8375005","ACCIDENT","09-FEB-00","AK","WALES","PART 135: AIR TAXI & COMMUTER","SCHEDULED","CAPE SMYTHE AIR SERVICE INC","PIPER","PA31T","3","FINAL","SERIOUS","APPROACH"
