weather_condition,phase_of_flight,aircraft_damage,number_of_engines,fatal_injuries,serious_injuries,minor_injuries,uninjured,emergency_type,severity_score,risk_level,atc_action,response_time_minutes
Fog,Taxi,Minor,2,0,0,0,140,Medical Emergency,54.0,Medium,Continue Monitoring,17.7
VMC,Cruise,None,2,0,0,0,163,Near Collision,52.0,Medium,Go Around,17.0
Windy,Taxi,None,2,0,0,2,184,Runway Incursion,43.0,Medium,Continue Monitoring,11.2
Rain,Approach,Substantial,3,0,0,1,42,Engine Failure,95.0,Critical,Priority Landing,19.3
VMC,Cruise,Substantial,1,0,0,1,176,Fuel Low,71.0,High,Holding Pattern,18.9
Storm,Takeoff,Substantial,2,1,1,2,185,Bird Strike,100.0,Critical,Priority Landing,24.0
Fog,Approach,Minor,2,0,1,3,83,Runway Incursion,74.5,High,Runway Change,21.5
Fog,Approach,None,2,0,0,1,91,Near Collision,77.5,High,Go Around,24.6
VMC,Taxi,None,2,0,0,1,156,Near Collision,50.5,Medium,Go Around,12.1
IMC,Landing,None,2,0,0,2,107,Near Collision,80.0,Critical,Priority Landing,21.2
VMC,Takeoff,Minor,2,0,0,0,234,Cabin Pressure Failure,70.0,High,Emergency Descent,17.6
Windy,Approach,Minor,1,0,1,3,42,Runway Incursion,72.0,High,Runway Change,17.7
Rain,Landing,None,2,0,0,0,58,Bird Strike,60.0,High,Runway Change,15.0
Fog,Cruise,Substantial,2,0,1,1,206,Near Collision,100.0,Critical,Priority Landing,27.1
VMC,Cruise,None,2,0,1,0,176,Runway Incursion,34.0,Medium,Continue Monitoring,13.1
VMC,Landing,None,2,0,1,2,217,Bird Strike,54.0,Medium,Continue Monitoring,15.1
IMC,Approach,None,2,0,1,1,25,Near Collision,77.5,High,Go Around,19.3
VMC,Landing,Substantial,4,0,0,1,50,Engine Failure,85.5,Critical,Priority Landing,18.5
Fog,Cruise,Substantial,2,0,2,1,212,Bird Strike,91.5,Critical,Priority Landing,23.7
Rain,Climb,Minor,1,1,0,1,206,Medical Emergency,69.0,High,Holding Pattern,16.8
Fog,Approach,Destroyed,1,0,1,2,209,Landing Gear Issue,100.0,Critical,Priority Landing,22.3
VMC,Taxi,Substantial,4,0,0,2,226,Fuel Low,65.0,High,Runway Change,15.2
Storm,Approach,Substantial,2,0,0,3,73,Medical Emergency,94.5,Critical,Priority Landing,22.5
Windy,Landing,Substantial,2,0,0,1,42,Runway Incursion,86.5,Critical,Priority Landing,20.1
Fog,Takeoff,None,2,1,0,0,88,Runway Incursion,66.0,High,Runway Change,20.2
VMC,Taxi,Substantial,2,0,1,1,249,Near Collision,84.5,Critical,Priority Landing,18.8
IMC,Climb,Minor,2,0,2,1,138,Engine Failure,83.5,Critical,Priority Landing,21.0
VMC,Taxi,Minor,2,0,1,0,21,Runway Incursion,43.0,Medium,Continue Monitoring,10.7
VMC,Cruise,None,4,2,1,2,191,Fuel Low,60.0,High,Holding Pattern,17.7
Rain,Taxi,Minor,2,0,0,1,213,Cabin Pressure Failure,71.5,High,Emergency Descent,17.1
Rain,Taxi,Destroyed,2,0,0,0,48,Near Collision,100.0,Critical,Priority Landing,18.9
Storm,Landing,None,2,0,1,3,148,Fuel Low,83.5,Critical,Priority Landing,22.1
VMC,Taxi,Destroyed,4,0,1,2,191,Near Collision,98.0,Critical,Priority Landing,19.7
VMC,Approach,None,2,1,1,0,240,Cabin Pressure Failure,68.0,High,Emergency Descent,14.6
IMC,Taxi,None,2,0,0,0,159,Bird Strike,45.0,Medium,Continue Monitoring,18.2
VMC,Climb,None,2,0,0,2,97,Bird Strike,42.0,Medium,Continue Monitoring,12.9
VMC,Takeoff,Substantial,2,0,0,0,229,Runway Incursion,70.0,High,Runway Change,16.5
IMC,Approach,Minor,2,0,1,0,102,Engine Failure,81.0,Critical,Priority Landing,24.3
VMC,Landing,None,2,0,0,3,165,Medical Emergency,44.5,Medium,Continue Monitoring,10.8
Rain,Landing,Minor,3,0,0,0,213,Medical Emergency,63.5,High,Runway Change,15.2
VMC,Approach,None,4,1,0,1,141,Medical Emergency,42.5,Medium,Continue Monitoring,11.9
Fog,Approach,None,4,0,1,0,183,Medical Emergency,53.0,Medium,Continue Monitoring,17.7
Rain,Approach,Substantial,2,0,2,2,213,Landing Gear Issue,91.0,Critical,Priority Landing,17.9
VMC,Taxi,Minor,2,0,0,3,158,Engine Failure,58.5,High,Runway Change,14.7
Fog,Taxi,Substantial,2,0,1,0,116,Landing Gear Issue,78.0,High,Runway Change,24.8
Fog,Takeoff,Minor,2,1,0,1,168,Near Collision,100.0,Critical,Priority Landing,22.9
